"전국","미역",132.70,133.03,132.98,133.35,135.48,137.37
"전국","공업제품",117.09,118.80,120.05,120.63,120.96,120.54
"전국","가공식품",124.94,125.22,125.14,125.07,125.61,125.84
"전국","밀가루",134.38,132.33,128.66,129.07,128.97,128.97
"전국","국수",155.54,155.33,144.58,143.16,141.67,147.99
"전국","라면",127.93,126.60,126.40,126.71,126.70,126.96
"전국","당면",122.43,136.35,136.91,137.12,138.15,140.63
"전국","두부",109.19,108.51,108.42,108.58,109.17,107.72
"전국","시리얼",115.73,114.21,117.90,120.34,131.20,117.96
"전국","부침가루",128.94,140.13,141.50,142.10,139.97,143.69
"전국","케이크",132.13,132.16,131.14,131.14,131.15,132.12
"전국","빵",138.75,138.53,138.47,138.48,138.48,138.51
"전국","떡",128.79,129.02,129.18,129.96,130.01,130.44
"전국","파스타면",129.47,132.46,131.09,127.66,133.25,133.56
"전국","소시지",119.70,119.72,120.29,120.45,118.84,121.45
"전국","햄및베이컨",121.92,121.07,118.21,121.28,125.24,126.33
"전국","기타육류가공품",137.89,139.39,140.22,135.63,136.12,137.77
"전국","오징어채",147.13,146.42,145.15,144.34,144.44,142.97
"전국","북어채",134.87,136.38,138.33,136.14,139.45,138.56
"전국","어묵",125.91,128.39,125.73,126.73,133.20,134.76
"전국","맛살",136.33,140.86,144.87,145.37,146.07,148.12
"전국","수산물통조림",124.89,125.11,125.20,125.10,125.49,126.69
"전국","젓갈",120.91,120.88,122.82,123.64,124.15,124.83
"전국","우유",124.13,124.69,124.18,124.28,124.54,124.55
"전국","분유",113.92,113.32,113.77,114.09,112.95,113.32
"전국","치즈",145.22,145.09,144.56,145.16,144.65,144.82
"전국","발효유",128.20,128.57,128.24,128.07,128.07,128.04
"전국","참기름",146.68,146.40,152.90,148.21,153.82,153.12
"전국","식용유",154.95,168.64,158.11,153.40,152.92,157.96
"전국","과일가공품",143.70,140.14,142.94,144.19,144.42,146.77
"전국","단무지",122.57,128.46,128.69,129.58,126.66,128.32
"전국","맛김",131.95,132.06,133.92,131.58,131.97,136.36
"전국","초콜릿",162.53,163.45,163.38,163.52,162.90,163.04
"전국","사탕",115.02,111.16,115.73,115.83,117.01,117.10
"전국","껌",116.62,116.10,116.64,116.74,116.73,115.40
"전국","아이스크림",128.10,128.90,128.31,128.96,129.10,128.93
"전국","비스킷",134.07,134.39,134.08,133.75,134.29,135.57
"전국","스낵과자",119.32,119.33,119.03,118.94,118.66,118.93
"전국","파이",116.19,116.47,116.03,116.49,116.55,117.03
"전국","설탕",147.97,142.10,141.67,140.29,141.04,142.94
"전국","잼",164.96,164.95,162.85,171.41,171.70,171.81
"전국","물엿",125.43,138.95,138.52,135.73,139.07,139.04
"전국","소금",176.33,175.53,175.69,176.09,176.52,176.88
"전국","간장",138.71,139.19,140.18,142.43,140.83,142.40
"전국","된장",136.78,138.63,134.28,140.08,142.35,140.17
"전국","양념소스",130.36,136.76,139.19,138.17,140.29,142.25
"전국","고추장",137.45,137.22,142.16,141.90,141.66,141.63
"전국","카레",129.78,129.71,128.52,127.74,128.85,130.81
"전국","식초",148.81,148.61,147.71,148.84,147.91,147.86
"전국","드레싱",162.42,161.25,163.44,162.56,165.19,166.94
"전국","혼합조미료",130.74,132.62,135.06,133.59,135.51,136.72
"전국","스프",129.38,129.67,129.93,129.73,128.50,129.84
"전국","이유식",111.12,111.12,111.12,111.12,111.12,111.12
"전국","김치",135.19,135.33,135.24,135.49,135.50,134.06
"전국","밑반찬",117.28,117.07,117.80,118.13,118.04,118.18
"전국","냉동식품",118.40,120.46,118.84,120.63,118.89,118.38
"전국","즉석식품",126.36,125.55,126.10,127.20,127.79,127.25
"전국","편의점도시락",118.57,118.57,118.57,118.57,118.57,118.57
"전국","삼각김밥",115.12,115.19,115.77,116.07,116.22,116.26
"전국","커피",143.02,144.10,144.92,142.52,143.90,145.81
"전국","차",134.21,128.18,131.13,129.93,128.13,120.29
"전국","주스",136.78,136.73,136.52,136.45,136.56,136.41
"전국","두유",124.66,126.28,126.09,127.04,127.23,126.71
"전국","생수",117.54,117.21,117.50,117.50,116.95,117.03
"전국","기능성음료",121.38,121.59,120.81,120.16,121.05,120.70
"전국","탄산음료",120.69,112.74,119.55,118.99,119.47,120.71
"전국","기타음료",124.34,123.82,121.90,122.00,122.27,124.38
"전국","소주",108.56,108.67,108.92,108.92,108.96,109.01
"전국","과실주",106.06,106.32,100.95,102.87,104.61,102.10
"전국","맥주",116.19,116.17,116.15,115.98,116.22,116.21
"전국","막걸리",123.34,123.43,123.41,123.72,123.88,124.23
"전국","양주",116.95,116.88,110.21,112.96,118.30,112.98
"전국","약주",105.42,105.45,105.56,105.61,105.79,105.90
"전국","홍삼",100.00,111.11,111.11,100.00,111.11,111.11
